"Product","SubCategory","Category","OrderDate","SalesAmount","Freight","Country","City","PostalCode"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-28 00:00:00","2294.9900","57.3748","Germany","M?nchen","80074"
"Mountain-500 Black, 40","Mountain Bikes","Bikes","2015-02-28 00:00:00","539.9900","13.4998","France","Paris","75019"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-02-28 00:00:00","2319.9900","57.9998","Germany","Frankfurt am Main","60082"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-02-28 00:00:00","2319.9900","57.9998","Germany","Frankfurt am Main","60355"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-02-28 00:00:00","2319.9900","57.9998","Germany","Solingen","42651"
"Mountain-400-W Silver, 38","Mountain Bikes","Bikes","2015-02-28 00:00:00","769.4900","19.2373","United States","Beverly Hills","90210"
"Mountain-400-W Silver, 38","Mountain Bikes","Bikes","2015-02-28 00:00:00","769.4900","19.2373","United States","Redmond","98052"
"Mountain-500 Black, 40","Mountain Bikes","Bikes","2015-02-28 00:00:00","539.9900","13.4998","United States","Coronado","92118"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-02-28 00:00:00","2319.9900","57.9998","United States","Sedro Woolley","98284"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-02-28 00:00:00","2319.9900","57.9998","United States","Colma","94014"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-02-28 00:00:00","2294.9900","57.3748","United States","Lemon Grove","91945"
"Touring-1000 Blue, 50","Touring Bikes","Bikes","2015-02-28 00:00:00","2384.0700","59.6018","United Kingdom","London","SW8 1XD"
"Road-250 Red, 58","Road Bikes","Bikes","2015-02-28 00:00:00","2443.3500","61.0838","Australia","Geelong","3220"
"Road-250 Black, 48","Road Bikes","Bikes","2015-02-28 00:00:00","2443.3500","61.0838","Australia","Gold Coast","4217"
"Road-250 Red, 58","Road Bikes","Bikes","2015-02-28 00:00:00","2443.3500","61.0838","Australia","South Melbourne","3205"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-02-28 00:00:00","2319.9900","57.9998","Australia","North Sydney","2055"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-02-28 00:00:00","2319.9900","57.9998","Australia","Sydney","1002"
"Touring-1000 Blue, 46","Touring Bikes","Bikes","2015-02-28 00:00:00","2384.0700","59.6018","United States","San Gabriel","91776"
"Touring-1000 Blue, 50","Touring Bikes","Bikes","2015-02-28 00:00:00","2384.0700","59.6018","United States","San Diego","92102"
"Touring-1000 Blue, 46","Touring Bikes","Bikes","2015-02-28 00:00:00","2384.0700","59.6018","United States","Chula Vista","91910"
"Touring-1000 Blue, 60","Touring Bikes","Bikes","2015-02-28 00:00:00","2384.0700","59.6018","United States","Los Angeles","90012"
"Road-750 Black, 44","Road Bikes","Bikes","2015-02-28 00:00:00","539.9900","13.4998","United States","Berkeley","94704"
"Road-550-W Yellow, 40","Road Bikes","Bikes","2015-02-28 00:00:00","1120.4900","28.0123","United States","Bellflower","90706"
"Road-550-W Yellow, 44","Road Bikes","Bikes","2015-02-28 00:00:00","1120.4900","28.0123","United States","Yakima","98901"
"Road-550-W Yellow, 38","Road Bikes","Bikes","2015-02-28 00:00:00","1120.4900","28.0123","United States","Coronado","92118"
"Road-350-W Yellow, 44","Road Bikes","Bikes","2015-02-28 00:00:00","1700.9900","42.5248","United States","Lincoln Acres","91950"
"Road-550-W Yellow, 44","Road Bikes","Bikes","2015-02-28 00:00:00","1120.4900","28.0123","France","Tremblay-en-France","93290"
"Road-550-W Yellow, 40","Road Bikes","Bikes","2015-02-28 00:00:00","1120.4900","28.0123","United Kingdom","Maidenhead","SL67RJ"
"Road-550-W Yellow, 42","Road Bikes","Bikes","2015-02-28 00:00:00","1120.4900","28.0123","United Kingdom","Runcorn","TY31"
