"Product","SubCategory","Category","OrderDate","SalesAmount","Freight","Country","City","PostalCode"
"Road-250 Black, 48","Road Bikes","Bikes","2015-06-30 00:00:00","2443.3500","61.0838","United Kingdom","York","YO15"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-06-30 00:00:00","2294.9900","57.3748","United Kingdom","Kirkby","KB9"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-30 00:00:00","2319.9900","57.9998","Germany","Ingolstadt","85049"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-30 00:00:00","2319.9900","57.9998","United Kingdom","Wokingham","RG41 1QW"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-06-30 00:00:00","2294.9900","57.3748","United Kingdom","York","Y024 1GF"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-06-30 00:00:00","2319.9900","57.9998","United States","Bremerton","98312"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-06-30 00:00:00","2294.9900","57.3748","Canada","Port Hammond","V6B 3P7"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-30 00:00:00","2319.9900","57.9998","United States","Grossmont","91941"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-06-30 00:00:00","2294.9900","57.3748","Canada","N. Vancouver","V7L 4J4"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-06-30 00:00:00","2319.9900","57.9998","United States","Concord","94519"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-06-30 00:00:00","2319.9900","57.9998","Canada","Oak Bay","V8P"
"Touring-2000 Blue, 60","Touring Bikes","Bikes","2015-06-30 00:00:00","1214.8500","30.3713","United Kingdom","London","W1N 9FA"
"Touring-2000 Blue, 54","Touring Bikes","Bikes","2015-06-30 00:00:00","1214.8500","30.3713","Germany","Berlin","12311"
"Touring-3000 Blue, 44","Touring Bikes","Bikes","2015-06-30 00:00:00","742.3500","18.5588","France","Roubaix","59100"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-06-30 00:00:00","2319.9900","57.9998","Australia","Rhodes","2138"
"Road-250 Black, 48","Road Bikes","Bikes","2015-06-30 00:00:00","2443.3500","61.0838","Australia","St. Leonards","2065"
"Touring-2000 Blue, 54","Touring Bikes","Bikes","2015-06-30 00:00:00","1214.8500","30.3713","United States","Bellflower","90706"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-06-30 00:00:00","2294.9900","57.3748","Australia","Warrnambool","3280"
"Touring-3000 Yellow, 44","Touring Bikes","Bikes","2015-06-30 00:00:00","742.3500","18.5588","Canada","Calgary","T2P 2G8"
"Road-750 Black, 44","Road Bikes","Bikes","2015-06-30 00:00:00","539.9900","13.4998","United States","Santa Cruz","95062"
"Road-550-W Yellow, 40","Road Bikes","Bikes","2015-06-30 00:00:00","1120.4900","28.0123","United States","Bremerton","98312"
"Road-750 Black, 52","Road Bikes","Bikes","2015-06-30 00:00:00","539.9900","13.4998","United Kingdom","Lancaster","LA1 1LN"
"Touring-1000 Blue, 50","Touring Bikes","Bikes","2015-06-30 00:00:00","2384.0700","59.6018","Germany","Grevenbroich","41485"
"Touring-1000 Yellow, 46","Touring Bikes","Bikes","2015-06-30 00:00:00","2384.0700","59.6018","Australia","North Sydney","2055"
"Road-750 Black, 58","Road Bikes","Bikes","2015-06-30 00:00:00","539.9900","13.4998","Australia","Rockhampton","4700"
"Road-750 Black, 48","Road Bikes","Bikes","2015-06-30 00:00:00","539.9900","13.4998","Australia","Warrnambool","3280"
"Mountain-500 Silver, 48","Mountain Bikes","Bikes","2015-06-29 00:00:00","564.9900","14.1248","Australia","Caloundra","4551"
"Road-350-W Yellow, 40","Road Bikes","Bikes","2015-06-29 00:00:00","1700.9900","42.5248","Australia","Gold Coast","4217"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-06-29 00:00:00","2319.9900","57.9998","Germany","Frankfurt","91480"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-06-29 00:00:00","2294.9900","57.3748","Germany","Salzgitter","38231"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-06-29 00:00:00","2294.9900","57.3748","United Kingdom","Birmingham","B29 6SL"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-06-29 00:00:00","2294.9900","57.3748","United Kingdom","Gloucestershire","GL7 1RY"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-06-29 00:00:00","2294.9900","57.3748","France","Saint-Denis","93400"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-06-29 00:00:00","2294.9900","57.3748","United States","Beaverton","97005"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-06-29 00:00:00","2319.9900","57.9998","United States","Colma","94014"
"Mountain-400-W Silver, 42","Mountain Bikes","Bikes","2015-06-29 00:00:00","769.4900","19.2373","United States","Corvallis","97330"
"Mountain-400-W Silver, 38","Mountain Bikes","Bikes","2015-06-29 00:00:00","769.4900","19.2373","United States","Burbank","91502"
"Mountain-400-W Silver, 42","Mountain Bikes","Bikes","2015-06-29 00:00:00","769.4900","19.2373","Canada","Royal Oak","V8X"
"Mountain-400-W Silver, 42","Mountain Bikes","Bikes","2015-06-29 00:00:00","769.4900","19.2373","United States","Woodland Hills","91364"
"Mountain-500 Silver, 42","Mountain Bikes","Bikes","2015-06-29 00:00:00","564.9900","14.1248","Canada","Royal Oak","V8X"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-06-29 00:00:00","2319.9900","57.9998","United States","Spring Valley","91977"
"Touring-2000 Blue, 50","Touring Bikes","Bikes","2015-06-29 00:00:00","1214.8500","30.3713","United Kingdom","London","W1N 9FA"
"Touring-3000 Yellow, 50","Touring Bikes","Bikes","2015-06-29 00:00:00","742.3500","18.5588","United Kingdom","London","SW19 3RU"
"Touring-3000 Yellow, 44","Touring Bikes","Bikes","2015-06-29 00:00:00","742.3500","18.5588","United Kingdom","York","Y024 1GF"
"Touring-3000 Yellow, 44","Touring Bikes","Bikes","2015-06-29 00:00:00","742.3500","18.5588","Germany","Offenbach","63009"
"Road-250 Red, 58","Road Bikes","Bikes","2015-06-29 00:00:00","2443.3500","61.0838","Australia","Sunbury","3429"
"Road-250 Black, 44","Road Bikes","Bikes","2015-06-29 00:00:00","2443.3500","61.0838","Australia","Lane Cove","1597"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-29 00:00:00","2319.9900","57.9998","Australia","Matraville","2036"
"Touring-3000 Yellow, 58","Touring Bikes","Bikes","2015-06-29 00:00:00","742.3500","18.5588","United States","Lemon Grove","91945"
"Touring-1000 Yellow, 54","Touring Bikes","Bikes","2015-06-29 00:00:00","2384.0700","59.6018","United States","Concord","94519"
"Touring-2000 Blue, 46","Touring Bikes","Bikes","2015-06-29 00:00:00","1214.8500","30.3713","Canada","Shawnee","V9B 2C3"
"Touring-1000 Blue, 60","Touring Bikes","Bikes","2015-06-29 00:00:00","2384.0700","59.6018","United States","Burien","98168"
"Road-550-W Yellow, 44","Road Bikes","Bikes","2015-06-29 00:00:00","1120.4900","28.0123","United States","Newport Beach","92625"
"Road-550-W Yellow, 48","Road Bikes","Bikes","2015-06-29 00:00:00","1120.4900","28.0123","United States","Lebanon","97355"
"Road-350-W Yellow, 40","Road Bikes","Bikes","2015-06-29 00:00:00","1700.9900","42.5248","United States","San Diego","92102"
"Road-350-W Yellow, 44","Road Bikes","Bikes","2015-06-29 00:00:00","1700.9900","42.5248","United States","Novato","94947"
"Road-350-W Yellow, 42","Road Bikes","Bikes","2015-06-29 00:00:00","1700.9900","42.5248","United States","Bellflower","90706"
"Road-350-W Yellow, 42","Road Bikes","Bikes","2015-06-29 00:00:00","1700.9900","42.5248","Germany","Berlin","14197"
"Road-750 Black, 44","Road Bikes","Bikes","2015-06-29 00:00:00","539.9900","13.4998","United Kingdom","Warrington","WA3 7BH"
"Road-750 Black, 48","Road Bikes","Bikes","2015-06-29 00:00:00","539.9900","13.4998","Germany","Frankfurt","91480"
"Road-750 Black, 58","Road Bikes","Bikes","2015-06-29 00:00:00","539.9900","13.4998","France","Versailles","78000"
"Road-750 Black, 58","Road Bikes","Bikes","2015-06-29 00:00:00","539.9900","13.4998","France","Orleans","45000"
